latitude,longitude,accommodates,bathrooms,amenities_count,price,minimum_nights,maximum_nights,availability_365,number_of_reviews_ltm,review_scores_rating,bedrooms,host_is_superhost_false,host_is_superhost_true,Entire home/apt,Hotel room,Private room,Shared room,Exempt,Mobility lease only,Unlicensed,licensed,bathrooms_ratio,1er Arrondissement,2e Arrondissement,3e Arrondissement,4e Arrondissement,5e Arrondissement,6e Arrondissement,7e Arrondissement,8e Arrondissement,9e Arrondissement
45.76807,4.82887,1.6094379124341003,1.0986122886681098,53,4.248495242049359,3,30,4,3.367295829986474,4.94,0.6931471805599453,0,1,1,0,0,0,0,0,0,1,0.6826061944859854,1,0,0,0,0,0,0,0,0
45.75625,4.7962,1.6094379124341003,1.0986122886681098,47,4.875197323201151,1,20,348,3.1354942159291497,4.89,0.6931471805599453,0,1,1,0,0,0,0,0,0,1,0.6826061944859854,0,0,0,0,1,0,0,0,0
45.76104,4.83722,1.0986122886681098,1.0986122886681098,23,4.418840607796598,2,1125,169,2.6390573296152584,4.58,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,1.0,0,1,0,0,0,0,0,0,0
45.77886,4.80682,1.0986122886681098,1.0986122886681098,35,4.499809670330265,2,1125,354,1.9459101490553132,4.69,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,0,1
45.75621,4.82669,1.0986122886681098,1.0986122886681098,22,4.0943445622221,2,1125,12,0.6931471805599453,4.75,0.6931471805599453,1,0,0,0,1,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0
45.76312,4.82813,1.791759469228055,1.3862943611198906,45,4.875197323201151,30,1125,104,1.0986122886681098,4.7,1.3862943611198906,1,0,1,0,0,0,0,1,0,0,0.7737056144690831,0,0,0,0,1,0,0,0,0
45.76842,4.82745,1.6094379124341003,1.0986122886681098,25,4.61512051684126,2,15,83,1.3862943611198906,4.78,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,0.6826061944859854,1,0,0,0,0,0,0,0,0
45.7593,4.82548,1.0986122886681098,1.0986122886681098,26,4.454347296253507,2,30,87,1.9459101490553132,4.48,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,1.0,0,0,0,0,1,0,0,0,0
45.76884460449219,4.854162216186523,1.0986122886681098,1.0986122886681098,30,4.48863636973214,365,730,6,0.0,4.78,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,1.0,0,0,0,0,0,1,0,0,0
45.76695,4.83241,1.9459101490553132,1.0986122886681098,51,5.356586274672012,2,90,160,3.6888794541139363,4.62,1.3862943611198906,0,1,1,0,0,0,0,0,0,1,0.5645750340535797,1,0,0,0,0,0,0,0,0
45.75935,4.82228,1.0986122886681098,1.0986122886681098,19,4.04305126783455,2,365,0,4.189654742026425,4.66,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,1.0,0,0,0,0,1,0,0,0,0
45.75207,4.83978,1.9459101490553132,1.0986122886681098,23,5.351858133476067,2,30,360,1.6094379124341003,4.8,1.3862943611198906,1,0,1,0,0,0,0,0,0,1,0.5645750340535797,0,0,0,0,0,0,1,0,0
45.77047,4.834133,1.0986122886681098,1.0986122886681098,40,3.713572066704308,21,90,276,2.0794415416798357,5.0,0.0,0,1,1,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0
45.75775,4.87644,1.3862943611198906,1.0986122886681098,54,3.4011973816621555,5,30,13,1.0986122886681098,4.67,0.6931471805599453,1,0,0,0,1,0,0,0,1,0,0.7924812503605781,0,0,1,0,0,0,0,0,0
45.7467,4.87099,1.9459101490553132,1.3862943611198906,35,4.330733340286331,2,12,4,1.791759469228055,4.79,1.0986122886681098,0,1,1,0,0,0,0,0,0,1,0.7124143742160444,0,0,1,0,0,0,0,0,0
45.75383,4.84758,2.1972245773362196,1.0986122886681098,62,5.272999558563747,1,1125,257,3.6888794541139363,4.85,1.3862943611198906,0,1,1,0,0,0,0,0,0,1,0.5,0,0,1,0,0,0,0,0,0
45.76983,4.8293,1.0986122886681098,1.0986122886681098,28,4.430816798843313,3,10,11,3.258096538021482,4.88,0.6931471805599453,0,1,1,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0
