id,host_id,host_since,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_365,number_of_reviews_ltm,last_review,review_scores_rating,license,bedrooms,amenities_count
50296463,397065916,2021-04-15,f,3e Arrondissement,45.754505,4.859013,Entire home/apt,2,1.0,114.0,1,365,117,7,2024-05-19,4.08,Exempt,0.0,18
50305557,20650437,2014-08-28,f,8e Arrondissement,45.73053,4.86075,Entire home/apt,4,1.0,100.0,3,1125,8,7,2024-06-04,4.89,Unlicensed,2.0,58
50323043,291015206,2019-09-02,f,7e Arrondissement,45.75071,4.84576,Entire home/apt,6,1.0,89.0,2,28,335,64,2024-09-05,4.44,licensed,2.0,29
50354616,266734039,2019-06-06,f,9e Arrondissement,45.772881,4.801081,Entire home/apt,2,1.0,60.0,5,30,0,1,2024-04-29,4.4,licensed,1.0,26
50384636,57834174,2016-02-08,f,1er Arrondissement,45.76962,4.83569,Entire home/apt,2,1.0,80.0,2,7,0,9,2024-01-01,4.78,licensed,1.0,31
50387269,291015206,2019-09-02,f,3e Arrondissement,45.7548,4.84532,Entire home/apt,2,1.0,52.0,2,365,336,30,2024-08-17,4.27,licensed,1.0,41
50387469,130229904,2017-05-14,f,3e Arrondissement,45.75823,4.85512,Entire home/apt,2,1.0,160.0,1,28,6,5,2023-10-13,4.85,licensed,1.0,38
50405137,84398441,2016-07-18,f,7e Arrondissement,45.75233,4.84599,Entire home/apt,2,1.0,65.0,2,1125,0,0,2021-09-17,4.88,licensed,1.0,9
50409329,369826491,2020-09-29,f,3e Arrondissement,45.7582452,4.8670831,Entire home/apt,4,1.0,70.0,3,365,165,21,2024-08-18,4.19,licensed,1.0,12
50409699,184014977,2018-04-13,f,4e Arrondissement,45.77661,4.83757,Entire home/apt,4,1.0,90.0,3,25,0,0,2022-01-01,4.83,licensed,1.0,28
50411187,18468817,2014-07-20,t,6e Arrondissement,45.7672,4.86474,Private room,1,1.0,43.0,2,1125,0,10,2024-05-05,4.97,Unlicensed,1.0,30
50427025,210842754,2018-08-21,t,6e Arrondissement,45.77128219604492,4.84761905670166,Entire home/apt,4,1.0,132.0,1,90,165,3,2024-04-29,4.73,licensed,1.0,36
